"Date","Price","Open","High","Low","Vol.","Change %"
"11/05/2020","1,686.55","1,645.00","1,696.50","1,641.00","337.15K","3.19%"
"11/04/2020","1,634.40","1,660.00","1,671.35","1,627.00","430.23K","-1.43%"
"11/03/2020","1,658.05","1,685.00","1,707.05","1,651.00","160.00K","-1.03%"
"11/02/2020","1,675.30","1,690.10","1,706.80","1,665.00","96.13K","-1.51%"
"10/30/2020","1,701.00","1,688.00","1,719.00","1,683.05","193.59K","1.73%"
"10/29/2020","1,672.10","1,701.00","1,762.40","1,665.10","1.11M","-5.35%"
"10/28/2020","1,766.55","1,799.00","1,828.00","1,752.00","208.43K","-1.74%"
"10/27/2020","1,797.90","1,800.50","1,835.10","1,771.05","148.85K","-0.44%"
"10/26/2020","1,805.85","1,809.05","1,875.00","1,792.10","302.64K","0.32%"
"10/23/2020","1,800.05","1,804.50","1,837.60","1,792.10","208.48K","-0.19%"
"10/22/2020","1,803.45","1,759.00","1,822.80","1,725.60","208.99K","2.10%"
"10/21/2020","1,766.30","1,800.00","1,875.00","1,751.00","642.79K","-1.17%"
"10/20/2020","1,787.15","1,768.30","1,797.00","1,758.00","85.67K","1.45%"
"10/19/2020","1,761.65","1,757.80","1,802.00","1,749.00","316.58K","1.17%"
"10/16/2020","1,741.20","1,727.00","1,748.70","1,705.10","95.06K","1.01%"
"10/15/2020","1,723.85","1,777.00","1,780.00","1,710.00","127.97K","-2.31%"
"10/14/2020","1,764.55","1,740.00","1,789.15","1,740.00","199.88K","0.80%"
"10/13/2020","1,750.60","1,736.00","1,774.80","1,722.60","223.44K","0.51%"
"10/12/2020","1,741.65","1,721.00","1,755.00","1,696.00","139.89K","1.47%"
"10/09/2020","1,716.50","1,717.00","1,736.00","1,708.40","119.73K","0.55%"
"10/08/2020","1,707.10","1,737.00","1,743.85","1,690.00","160.91K","-1.45%"
"10/07/2020","1,732.25","1,750.00","1,751.85","1,721.50","99.66K","-0.66%"
"10/06/2020","1,743.75","1,754.00","1,773.95","1,735.00","125.79K","-0.55%"
"10/05/2020","1,753.35","1,734.00","1,788.80","1,728.60","314.58K","0.63%"
"10/01/2020","1,742.40","1,747.00","1,775.00","1,717.00","240.41K","1.14%"
"09/30/2020","1,722.80","1,788.30","1,801.20","1,710.00","256.73K","-3.67%"
"09/29/2020","1,788.40","1,790.00","1,835.80","1,756.00","448.89K","0.10%"
"09/28/2020","1,786.60","1,637.05","1,817.85","1,625.20","1.12M","9.16%"
"09/25/2020","1,636.75","1,632.00","1,675.35","1,612.55","290.56K","0.32%"
"09/24/2020","1,631.60","1,599.00","1,643.35","1,559.60","286.93K","2.23%"
