"","x"
"1114",29200
"1115",41850
"1116",58400
"1117",4964
"1118",41855
"1119",287460
"1120",29000
"1121",102090
"1122",263362
"1123",58200
"1124",55
"1125",180
"1126",146
"1127",122450
"1128",59200
"1129",37456
"1130",15300
"1131",170
"1132",19760
"1133",29000
"1134",39525
"1135",1025209
"1136",24
"1137",178090
"1138",47117
"1139",11028
"1140",11542
"1141",39980
"1142",89934
"1143",28025
"1144",46146
"1145",5356
"1146",109
"1147",306599
"1148",2119461
"1149",26640
"1150",526455
"1151",18468
"1152",16020
"1153",314200
"1154",103
"1155",2895
"1156",13572
"1157",39288
"1158",11426
"1159",1188138
"1160",232812
"1161",52
"1162",73
"1163",133
"1164",23760
"1165",180063
"1166",506
"1167",395
"1168",1291928
"1169",21511
"1170",145565
"1171",755
"1172",25480
"1173",166
"1174",100138
"1175",2142
"1176",39214
"1177",507
"1178",47600
"1179",29145
"1180",131040
"1181",34985
"1182",120405
"1183",16825
"1184",530
"1185",318
"1186",11908
"1187",18564
"1188",193032
"1189",2175578
"1190",228513
"1191",46750
"1192",81846
"1193",12992
"1194",238
"1195",330450
"1196",1389
"1197",116245
"1198",62954
"1199",281574
"1200",1034414
"1201",5550
"1202",25350
"1203",68142
"1204",127
"1205",106368
"1206",6439
"1207",24780
"1208",9666
"1209",23100
"1210",3
"1211",19853
"1212",255
"1213",2556
"1214",2314
"1215",369
"1216",7212
"1217",1771164
"1218",42500
"1219",126838
"1220",265
"1221",25082
"1222",15187
"1223",66321
"1224",86444
"1225",17148
"1226",224491
"1227",599309
"1228",18
"1229",111
"1230",13935
"1231",226
"1232",315944
"1233",917115
"1234",2685
"1235",67421
"1236",159
"1237",33748
"1238",1130
"1239",531
"1240",213
"1241",531
"1242",850
"1243",505
"1244",317973
"1245",298
"1246",255
"1247",1846
"1248",140
"1249",358
"1250",61890
"1251",294314
"1252",116201
"1253",15019
"1254",24960
"1255",11503
"1256",1
"1257",118
"1258",72
"1259",40249
"1260",635
"1261",35981
"1262",22000
"1263",12600
"1264",122
"1265",0
"1266",442
"1267",192
"1268",245121
"1269",51210
"1270",37365
"1271",55692
"1272",221
"1273",59
"1274",70982
"1275",11452
"1276",50000
"1277",24970
"1278",381
"1279",39015
"1280",229584
"1281",16600
"1282",126697
"1283",202909
"1284",6895
"1285",64
"1286",1563186
"1287",24800
"1288",123062
"1289",19221
"1290",18190
"1291",7594
"1292",2035
"1293",50467
"1294",30243
"1295",269325
"1296",2273922
"1297",228300
"1298",30100
"1299",1513187
"1300",28
"1301",246053
"1302",210
"1303",173208
"1304",736192
"1305",447010
"1306",210668
"1307",64
"1308",40378
"1309",229421
"1310",87435
"1311",461
"1312",222
"1313",635
"1314",1321
"1315",191
"1316",113
"1317",1840
"1318",162
"1319",1700
"1320",111888
"1321",296570
"1322",320694
"1323",292
"1324",71804
"1325",85
"1326",153
"1327",265
"1328",334
"1329",75000
